Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,72.959999,74.940002,72.959999,74.129997,72.333824,7059000
2018-02-01,73.480003,74.239998,73.160004,73.349998,71.572716,5137000
2018-02-02,72.660004,72.959999,71.379997,71.419998,69.689484,6198400
2018-02-05,70.540001,71.129997,66.910004,67.980003,66.332840,10160700
2018-02-06,66.000000,69.839996,65.720001,69.699997,68.011147,10524300
2018-02-07,69.620003,70.860001,69.430000,69.459999,67.776978,6255200
2018-02-08,69.629997,69.790001,65.760002,65.830002,64.234924,11179300
2018-02-09,66.989998,67.779999,63.320000,67.080002,65.454636,18582300
2018-02-12,67.160004,69.199997,67.160004,68.320000,66.664589,8315700
2018-02-13,67.959999,68.209999,67.180000,68.029999,66.381622,5373600
2018-02-14,67.209999,69.900002,67.110001,69.650002,67.962364,7197600
2018-02-15,70.000000,72.070000,69.050003,71.989998,70.245667,6182500
2018-02-16,71.959999,72.129997,69.790001,70.190002,68.489288,6497700
2018-02-20,69.970001,71.290001,69.750000,70.839996,69.123535,5386400
2018-02-21,70.900002,71.839996,70.220001,70.220001,68.518555,5555700
2018-02-22,70.059998,70.699997,69.070000,69.489998,67.806236,5229200
2018-02-23,69.949997,72.070000,69.790001,72.070000,70.323730,5842100
2018-02-26,72.680000,74.120003,72.680000,73.160004,71.387314,4868500
2018-02-27,73.050003,73.360001,72.019997,72.610001,70.850647,4141800
2018-02-28,73.150002,74.820000,72.970001,73.129997,71.358040,7469700
2018-03-01,73.160004,73.419998,71.519997,72.010002,70.265182,8123900
2018-03-02,71.220001,74.349998,70.739998,74.010002,72.216721,6942400
2018-03-05,73.660004,75.349998,72.919998,75.099998,73.280312,6276500
2018-03-06,75.400002,75.480003,72.860001,73.919998,72.128891,8413300
2018-03-07,73.379997,74.139999,72.750000,74.070000,72.275269,5834800
2018-03-08,74.510002,76.910004,74.230003,76.809998,74.948883,8860500
2018-03-09,76.860001,78.250000,76.410004,78.220001,76.324715,8934700
2018-03-12,79.239998,79.629997,76.290001,76.860001,74.997673,8450800
2018-03-13,77.489998,77.849998,75.809998,75.930000,74.090202,5108500
2018-03-14,76.349998,76.459999,73.930000,74.220001,72.421638,11755700
2018-03-15,72.989998,73.699997,72.510002,73.379997,71.601990,9989800
2018-03-16,73.870003,73.900002,71.610001,71.680000,69.943184,10549900
2018-03-19,71.000000,72.150002,69.809998,71.050003,69.328453,8278500
2018-03-20,71.339996,72.080002,70.839996,71.370003,69.640701,3994500
2018-03-21,71.199997,72.629997,71.110001,71.610001,69.874878,4868800
2018-03-22,70.629997,71.629997,69.650002,69.760002,68.069702,5108100
2018-03-23,69.860001,70.519997,68.019997,68.040001,66.391373,5386400
2018-03-26,69.430000,70.139999,68.430000,70.080002,68.381950,4709400
2018-03-27,70.669998,70.669998,65.559998,66.290001,64.683784,7334900
2018-03-28,65.930000,66.540001,64.449997,65.970001,64.703400,10463600
2018-03-29,66.339996,68.010002,64.919998,67.459999,66.164787,11704300
2018-04-02,66.800003,67.230003,64.089996,65.089996,63.840290,9041800
2018-04-03,65.389999,65.860001,64.089996,65.480003,64.222816,7186400
2018-04-04,63.959999,66.519997,63.520000,66.269997,64.997635,5231700
2018-04-05,67.199997,67.660004,66.150002,66.529999,65.252640,4489700
2018-04-06,65.849998,66.360001,64.129997,64.559998,63.320461,4599100
2018-04-09,65.160004,66.769997,64.959999,65.769997,64.507233,6587800
2018-04-10,66.959999,67.050003,65.300003,66.519997,65.242836,6317100
2018-04-11,65.800003,66.769997,65.709999,65.849998,64.585709,3140300
2018-04-12,66.250000,67.580002,65.800003,67.220001,65.929398,4614900
2018-04-13,67.459999,67.589996,65.290001,65.879997,64.615120,4842600
2018-04-16,66.529999,66.849998,65.760002,66.559998,65.282074,5717800
2018-04-17,67.250000,68.519997,67.099998,68.279999,66.969048,5676300
2018-04-18,68.750000,69.010002,67.970001,68.690002,67.371178,4257400
2018-04-19,68.250000,68.720001,67.440002,67.680000,66.380562,4564300
2018-04-20,67.440002,67.470001,65.959999,66.300003,65.027061,4759400
2018-04-23,66.599998,67.839996,65.970001,66.230003,64.958405,4423600
2018-04-24,66.620003,67.239998,64.709999,65.339996,64.085487,4825800
2018-04-25,65.379997,65.760002,64.010002,64.820000,63.575478,3903600
2018-04-26,65.260002,66.690002,64.930000,66.339996,65.066292,4601500
2018-04-27,66.690002,67.300003,65.510002,65.790001,64.526855,4749700
2018-04-30,65.860001,66.599998,65.279999,66.349998,65.076096,5060800
2018-05-01,66.150002,67.989998,65.589996,67.800003,66.498268,4360300
2018-05-02,67.940002,68.889999,67.660004,68.389999,67.076935,7675100
2018-05-03,68.489998,71.029999,64.059998,66.820000,65.537079,22232000
2018-05-04,66.300003,69.919998,66.019997,69.839996,68.499092,11358700
2018-05-07,70.269997,70.730003,69.599998,70.370003,69.018921,5744500
2018-05-08,69.660004,70.160004,69.180000,69.610001,68.273514,4059200
2018-05-09,69.980003,72.040001,69.809998,71.309998,69.940872,5664500
2018-05-10,71.779999,72.910004,71.320000,72.900002,71.500343,5069900
2018-05-11,72.769997,72.779999,71.269997,71.699997,70.323380,4996300
2018-05-14,71.870003,72.339996,71.040001,71.699997,70.323380,2964800
2018-05-15,70.980003,71.160004,69.669998,70.169998,68.822762,3896200
2018-05-16,71.129997,71.940002,70.099998,70.330002,68.979691,5029500
2018-05-17,70.300003,71.900002,70.110001,71.660004,70.284157,6447400
2018-05-18,71.519997,72.139999,71.050003,71.989998,70.607811,5673300
2018-05-21,72.500000,73.500000,71.190002,71.449997,70.078186,6392100
2018-05-22,71.949997,72.570000,71.230003,71.349998,69.980095,4008800
2018-05-23,70.730003,71.809998,70.550003,71.739998,70.362610,3809400
2018-05-24,71.750000,71.940002,70.050003,70.800003,69.440659,5526000
2018-05-25,70.660004,71.809998,70.599998,71.459999,70.087990,3705600
2018-05-29,70.800003,71.190002,69.870003,70.639999,69.283730,4855900
2018-05-30,70.919998,71.209999,70.510002,70.690002,69.332779,4093800
2018-05-31,70.830002,72.279999,70.690002,70.910004,69.548553,6050300
2018-06-01,71.419998,73.209999,70.769997,73.029999,71.627846,6388400
2018-06-04,73.250000,73.860001,72.660004,72.790001,71.392456,4134500
2018-06-05,72.790001,73.349998,72.190002,72.769997,71.372833,5354000
2018-06-06,73.260002,75.010002,73.260002,74.790001,73.354057,6638500
2018-06-07,74.790001,75.279999,73.080002,73.949997,72.530182,4686500
2018-06-08,73.449997,74.830002,73.449997,74.290001,72.863663,4672600
2018-06-11,74.250000,75.529999,74.220001,75.000000,73.560028,5108000
2018-06-12,75.230003,76.040001,74.790001,75.940002,74.481979,4311500
2018-06-13,76.040001,77.519997,75.699997,76.669998,75.197960,8634800
2018-06-14,76.830002,79.250000,76.800003,77.709999,76.217995,6717600
2018-06-15,77.660004,77.830002,76.370003,77.410004,75.923759,6596100
2018-06-18,77.019997,77.930000,76.470001,77.870003,76.374931,3993000
2018-06-19,76.639999,77.300003,75.660004,77.239998,75.757011,3735300
2018-06-20,77.250000,77.669998,76.779999,76.839996,75.364693,3566100
2018-06-21,77.169998,77.910004,75.309998,76.050003,74.589867,4233800
2018-06-22,76.459999,76.559998,75.220001,75.980003,74.521210,3978800
2018-06-25,75.190002,75.400002,74.139999,74.699997,73.265778,5390800
2018-06-26,75.320000,76.419998,74.430000,75.269997,73.824837,4865400
2018-06-27,75.769997,75.889999,73.400002,73.419998,72.010361,4497400
2018-06-28,74.000000,76.190002,73.660004,76.010002,74.550636,4755200
2018-06-29,76.440002,77.239998,76.080002,76.320000,74.854683,5072600
2018-07-02,75.360001,77.330002,75.000000,77.279999,75.796249,3324900
2018-07-03,77.680000,77.680000,75.720001,75.879997,74.423126,2028300
2018-07-05,76.510002,76.809998,75.690002,76.190002,74.727173,7998800
2018-07-06,76.199997,77.480003,76.019997,77.190002,75.707977,2954200
2018-07-09,77.699997,77.989998,75.930000,76.839996,75.364693,4518400
2018-07-10,77.000000,77.070000,75.669998,76.190002,74.727173,2944700
2018-07-11,75.349998,79.360001,75.349998,78.610001,77.100716,8191900
2018-07-12,79.290001,81.459999,78.669998,81.370003,79.807724,8698500
2018-07-13,81.400002,81.639999,79.919998,81.500000,79.935226,4550500
2018-07-16,81.610001,81.639999,80.099998,80.230003,78.689621,4153300
2018-07-17,79.160004,81.160004,77.550003,80.949997,79.395790,4862800
2018-07-18,80.750000,81.470001,80.400002,81.269997,79.709633,5273700
2018-07-19,81.019997,81.190002,80.190002,80.610001,79.062309,3541200
2018-07-20,80.940002,80.959999,79.550003,79.650002,78.120750,5663900
2018-07-23,79.500000,80.000000,78.820000,79.750000,78.218834,3253600
2018-07-24,80.099998,80.199997,77.959999,78.410004,76.904556,4762900
2018-07-25,78.599998,79.739998,78.320000,79.449997,77.924583,4348100
2018-07-26,79.389999,79.620003,77.459999,77.650002,76.159149,6181300
2018-07-27,77.080002,77.570000,74.669998,75.360001,73.913109,6078100
2018-07-30,75.370003,75.480003,71.790001,72.750000,71.353226,8906900
2018-07-31,72.910004,74.290001,72.519997,73.419998,72.010361,6373200
2018-08-01,73.769997,74.580002,72.919998,73.080002,71.676888,6069900
2018-08-02,73.650002,74.160004,72.550003,74.059998,72.638069,6621500
2018-08-03,74.500000,75.250000,70.730003,71.320000,69.950676,12700400
2018-08-06,71.160004,71.610001,70.459999,70.570000,69.215080,6394800
2018-08-07,70.570000,71.669998,69.870003,70.230003,68.881615,7887300
2018-08-08,70.070000,70.550003,69.269997,70.010002,68.665833,6922800
2018-08-09,70.019997,70.970001,69.559998,70.500000,69.146416,7571000
2018-08-10,70.099998,71.040001,69.769997,70.610001,69.254311,4629000
2018-08-13,70.610001,72.300003,70.260002,70.519997,69.166039,5721500
2018-08-14,71.050003,71.739998,70.180000,71.290001,69.921257,4830000
2018-08-15,70.389999,70.809998,68.440002,69.309998,67.979263,8564500
2018-08-16,69.680000,69.989998,68.910004,69.690002,68.351974,9465200
2018-08-17,69.510002,69.669998,68.330002,69.150002,67.822342,5551700
2018-08-20,69.209999,69.389999,68.220001,68.930000,67.606560,4579800
2018-08-21,69.269997,70.260002,69.040001,69.660004,68.322556,6014100
2018-08-22,69.580002,71.519997,69.500000,71.430000,70.058563,7987900
2018-08-23,71.559998,71.900002,70.510002,71.169998,69.803558,6789500
2018-08-24,71.709999,74.160004,71.459999,74.089996,72.667496,8889500
2018-08-27,74.870003,75.000000,73.330002,74.089996,72.667496,5912600
2018-08-28,74.250000,74.330002,73.389999,74.000000,72.579224,4079800
2018-08-29,73.940002,75.400002,73.879997,74.910004,73.471756,4763300
2018-08-30,74.400002,75.769997,73.599998,74.099998,72.677299,7819100
2018-08-31,71.519997,72.449997,71.010002,72.099998,70.715698,9950700
2018-09-04,72.129997,73.040001,72.029999,72.980003,71.578812,6618200
2018-09-05,72.930000,73.180000,71.000000,71.650002,70.274338,5304300
2018-09-06,71.629997,72.430000,71.150002,71.959999,70.578384,5784800
2018-09-07,71.830002,73.709999,71.809998,73.570000,72.157478,5053700
2018-09-10,73.879997,74.730003,73.250000,74.260002,72.834236,5277200
2018-09-11,74.879997,79.540001,74.660004,79.500000,77.973625,14053600
2018-09-12,79.699997,81.489998,78.800003,80.519997,78.974037,8838000
2018-09-13,80.589996,81.400002,79.830002,80.430000,78.885765,6031400
2018-09-14,80.500000,82.029999,80.430000,81.269997,79.709633,6022400
2018-09-17,81.489998,81.879997,78.660004,78.879997,77.365532,6304900
2018-09-18,78.820000,80.379997,78.820000,79.629997,78.101120,4943100
2018-09-19,79.930000,80.129997,78.519997,79.580002,78.052086,3882300
2018-09-20,79.910004,81.040001,79.349998,80.650002,79.101547,4388900
2018-09-21,81.330002,81.330002,80.250000,80.290001,78.748451,11180100
2018-09-24,79.699997,80.690002,79.349998,80.599998,79.052505,6092500
2018-09-25,80.919998,81.260002,79.870003,80.529999,78.983849,6031700
2018-09-26,81.110001,82.459999,81.019997,81.570000,80.003883,6408700
2018-09-27,81.940002,83.230003,81.919998,82.870003,81.278923,5867700
2018-09-28,82.760002,83.750000,82.739998,83.190002,81.592781,6724300
2018-10-01,84.180000,84.680000,82.309998,83.279999,81.681046,6221100
2018-10-02,83.019997,83.750000,82.199997,83.389999,81.788940,5374800
2018-10-03,83.820000,83.930000,82.519997,83.019997,81.426041,4570300
2018-10-04,82.500000,82.680000,79.830002,80.360001,78.817116,7509500
2018-10-05,80.250000,81.000000,78.660004,79.589996,78.061897,5281200
2018-10-08,79.019997,79.250000,76.330002,77.629997,76.139526,6106400
2018-10-09,76.879997,78.849998,76.620003,77.639999,76.149338,4617600
2018-10-10,77.470001,77.639999,73.430000,73.580002,72.167290,9814300
2018-10-11,73.800003,75.639999,73.230003,73.849998,72.432098,7930100
2018-10-12,78.400002,80.250000,76.550003,77.919998,76.423965,12696800
2018-10-15,75.540001,76.699997,74.050003,75.669998,74.217163,11517500
2018-10-16,76.480003,78.980003,76.260002,78.730003,77.218407,7187400
2018-10-17,77.349998,78.529999,76.959999,78.300003,76.796661,5319100
2018-10-18,73.970001,74.580002,71.220001,71.809998,70.431267,20153400
2018-10-19,72.199997,72.760002,69.529999,69.750000,68.410828,10771800
2018-10-22,70.099998,70.949997,69.320000,69.779999,68.440239,5976700
2018-10-23,67.790001,69.389999,66.709999,68.980003,67.655609,6850900
2018-10-24,69.129997,70.089996,67.239998,67.250000,65.958824,11245600
2018-10-25,68.019997,70.730003,67.660004,70.320000,68.969879,7177000
2018-10-26,68.250000,70.209999,67.589996,68.839996,67.518288,6536300
2018-10-29,70.339996,70.339996,63.400002,65.220001,63.967793,11058200
2018-10-30,65.690002,67.500000,65.339996,67.480003,66.184410,9243400
2018-10-31,68.669998,70.139999,68.120003,69.050003,67.724266,7562000
2018-11-01,69.480003,69.730003,67.949997,69.320000,67.989082,5083500
2018-11-02,69.949997,70.290001,68.379997,68.989998,67.665413,6102000
2018-11-05,68.000000,68.300003,64.000000,64.339996,63.104691,16399200
2018-11-06,64.320000,65.980003,63.669998,64.250000,63.016422,9428700
2018-11-07,65.260002,66.599998,64.989998,65.089996,63.840290,12766300
2018-11-08,65.370003,65.400002,62.349998,62.790001,61.584457,14529700
2018-11-09,55.000000,56.919998,53.500000,55.009998,53.953823,34543400
2018-11-12,55.000000,55.599998,53.810001,53.889999,52.855331,12803100
2018-11-13,54.200001,54.980000,52.389999,52.549999,51.541058,10335700
2018-11-14,53.189999,53.490002,51.369999,51.599998,50.609295,9099300
2018-11-15,51.410000,53.680000,51.029999,53.560001,52.531666,12304900
2018-11-16,53.060001,53.099998,50.860001,50.939999,49.961967,10695700
2018-11-19,50.810001,50.869999,48.889999,49.139999,48.196526,13063100
2018-11-20,47.770000,49.910000,46.830002,49.259998,48.314220,13801500
2018-11-21,50.040001,51.209999,49.860001,50.849998,49.873695,10184700
2018-11-23,50.459999,51.000000,49.720001,50.049999,49.089058,5128300
2018-11-26,50.689999,51.020000,49.990002,50.910000,49.932545,9295600
2018-11-27,50.610001,50.820000,49.799999,50.750000,49.775616,7794700
2018-11-28,51.099998,51.209999,49.980000,51.020000,50.040432,8479500
2018-11-29,50.639999,52.910000,50.599998,52.560001,51.550869,9367200
2018-11-30,52.529999,52.549999,49.259998,49.880001,48.922321,14511900
2018-12-03,51.000000,51.439999,46.450001,46.599998,45.705296,30816800
2018-12-04,46.660000,48.400002,46.340000,46.520000,45.626831,22495700
2018-12-06,46.250000,48.310001,45.500000,48.150002,47.225536,18516900
2018-12-07,47.869999,48.770000,47.200001,47.230000,46.323196,18277400
2018-12-10,47.230000,48.369999,46.669998,47.880001,46.960720,10970400
2018-12-11,48.570000,48.860001,47.720001,48.200001,47.274574,12474100
2018-12-12,49.049999,50.220001,48.419998,48.450001,47.519775,11453600
2018-12-13,48.750000,49.259998,47.720001,48.509998,47.578621,7755200
2018-12-14,47.470001,48.450001,46.970001,47.750000,46.833214,7161400
2018-12-17,47.599998,48.419998,46.639999,47.080002,46.176083,10065000
2018-12-18,47.750000,47.849998,46.779999,47.320000,46.411472,8776100
2018-12-19,47.330002,48.119999,45.860001,46.330002,45.440479,8362900
2018-12-20,46.180000,47.730000,45.930000,47.049999,46.146652,9849400
2018-12-21,47.619999,47.959999,44.959999,45.849998,44.969692,19308900
2018-12-24,45.349998,46.290001,43.919998,43.990002,43.145409,6869900
2018-12-26,44.430000,46.450001,43.709999,46.419998,45.528751,12028600
2018-12-27,45.709999,47.060001,45.209999,47.040001,46.136848,7529400
2018-12-28,47.320000,47.590000,46.099998,46.799999,45.901455,5783800
2018-12-31,47.040001,47.320000,46.009998,46.570000,45.675869,7789600
2019-01-02,45.250000,47.509998,45.139999,47.029999,46.127037,7245700
2019-01-03,46.439999,46.650002,45.000000,45.360001,44.489101,8266400
2019-01-04,46.000000,47.549999,45.130001,47.169998,46.264351,9081900
2019-01-07,47.240002,49.080002,47.090000,48.500000,47.568817,9112100
2019-01-08,49.070000,51.110001,49.000000,49.970001,49.010593,12428700
2019-01-09,50.369999,51.410000,49.910000,50.830002,49.854084,7768800
2019-01-10,50.500000,51.490002,50.090000,51.349998,50.364094,6416900
2019-01-11,46.380001,46.840000,44.470001,46.540001,45.646446,35424600
2019-01-14,46.070000,47.680000,45.820000,47.290001,46.382050,10183300
2019-01-15,47.330002,47.889999,46.619999,46.840000,45.940689,8190900
2019-01-16,46.759998,47.380001,45.860001,47.130001,46.225121,9299800
2019-01-17,46.950001,47.630001,46.410000,47.380001,46.470322,7828700
2019-01-18,47.889999,49.320000,47.840000,48.650002,47.715935,10563500
2019-01-22,48.169998,48.169998,46.820000,47.060001,46.156464,8415900
2019-01-23,47.320000,47.439999,45.630001,46.020000,45.136433,8951300
2019-01-24,45.939999,47.400002,45.889999,47.270000,46.362427,6007000
2019-01-25,47.860001,48.389999,47.090000,47.799999,46.882256,6175400
2019-01-28,47.000000,47.220001,45.959999,46.740002,45.842606,8807100
2019-01-29,46.360001,46.470001,45.230000,45.730000,44.852001,7722300
2019-01-30,46.180000,46.320000,45.500000,46.310001,45.420868,8679600
2019-01-31,46.459999,47.490002,45.980000,47.240002,46.333012,10060300
2019-02-01,47.189999,47.490002,45.509998,46.009998,45.126617,16662300
2019-02-04,46.320000,47.029999,46.070000,46.779999,45.881836,10635000
2019-02-05,46.930000,48.090000,46.610001,47.840000,46.921486,8673300
2019-02-06,45.000000,45.000000,42.529999,43.000000,42.174412,34619600
2019-02-07,43.209999,44.330002,43.049999,43.959999,43.115982,17457000
2019-02-08,43.779999,43.930000,42.880001,43.410000,42.576542,19275200
2019-02-11,43.799999,43.799999,39.849998,40.110001,39.339901,44932400
2019-02-12,40.340000,42.240002,40.110001,41.669998,40.869946,33515100
2019-02-13,42.930000,45.330002,42.840000,44.570000,43.714272,51708900
2019-02-14,44.090000,46.590000,43.790001,45.430000,44.557758,22540100
2019-02-15,45.470001,45.599998,44.139999,44.599998,43.743694,17152500
2019-02-19,44.450001,44.790001,43.500000,44.480000,43.625999,17261600
2019-02-20,44.669998,45.560001,42.480000,42.779999,41.958637,21193200
2019-02-21,42.700001,42.860001,41.669998,41.900002,41.095535,16645300
2019-02-22,42.000000,42.250000,41.250000,41.500000,40.703213,13074700
2019-02-25,41.820000,42.209999,41.000000,41.959999,41.154381,12317100
2019-02-26,41.820000,42.680000,41.720001,42.080002,41.272079,9194200
2019-02-27,42.060001,42.360001,41.610001,41.790001,40.987648,8494200
2019-02-28,41.779999,42.349998,41.669998,42.139999,41.330925,12255200
2019-03-01,42.599998,43.180000,42.180000,42.840000,42.017483,9422400
2019-03-04,43.060001,43.250000,41.310001,41.790001,40.987648,12128500
2019-03-05,41.840000,42.000000,41.049999,41.880001,41.075916,7536600
2019-03-06,41.950001,42.860001,41.860001,42.560001,41.742863,12535200
2019-03-07,42.430000,42.470001,41.180000,41.419998,40.624744,10470600
2019-03-08,41.009998,42.119999,40.889999,42.029999,41.223034,8735200
2019-03-11,42.230000,43.099998,41.990002,42.919998,42.095947,9451100
2019-03-12,43.070000,43.150002,42.560001,42.630001,41.811520,6474800
2019-03-13,42.830002,43.950001,42.570000,43.700001,42.860973,7774200
2019-03-14,43.730000,43.930000,43.230000,43.320000,42.488270,7324700
2019-03-15,44.020000,45.110001,43.910000,44.630001,43.773117,20494100
2019-03-18,44.930000,45.160000,44.119999,44.970001,44.106594,11344600
2019-03-19,45.610001,47.299999,45.290001,46.419998,45.528751,16098900
2019-03-20,46.369999,47.090000,46.130001,46.160000,45.273743,14270400
2019-03-21,46.080002,48.830002,45.900002,48.599998,47.666893,13972900
2019-03-22,48.310001,48.450001,46.279999,46.869999,45.970108,11117700
2019-03-25,46.750000,47.549999,46.419998,46.980000,46.077995,6976900
2019-03-26,47.279999,47.880001,45.959999,46.430000,45.538559,9712000
2019-03-27,46.290001,46.290001,45.240002,45.520000,45.004673,7813600
2019-03-28,45.340000,45.709999,44.869999,45.619999,45.103535,8347800
2019-03-29,46.180000,46.369999,45.009998,45.529999,45.014557,6643600
2019-04-01,46.500000,47.310001,46.160000,47.119999,46.586555,9233400
2019-04-02,47.419998,47.779999,46.200001,47.459999,46.922707,9697700
2019-04-03,47.750000,48.599998,47.400002,47.650002,47.110558,9741800
2019-04-04,47.680000,47.820000,46.580002,46.959999,46.428368,6941800
2019-04-05,47.080002,47.540001,46.680000,47.290001,46.754635,5976900
2019-04-08,47.230000,47.630001,46.369999,47.570000,47.031464,5563800
2019-04-09,47.189999,47.650002,46.849998,47.009998,46.477802,5090900
2019-04-10,47.340000,47.959999,47.150002,47.860001,47.318180,3548000
2019-04-11,48.060001,48.240002,46.860001,47.169998,46.635990,5198500
2019-04-12,47.400002,47.680000,46.939999,47.279999,46.744743,3802100
2019-04-15,47.270000,47.570000,45.639999,45.750000,45.232067,7343500
2019-04-16,45.950001,45.950001,44.740002,45.060001,44.549881,9742200
2019-04-17,45.169998,45.340000,43.959999,44.980000,44.470783,6663100
2019-04-18,45.180000,45.590000,44.650002,45.310001,44.797047,4582700
2019-04-22,45.240002,45.529999,44.700001,45.340000,44.826710,4229300
2019-04-23,45.599998,46.759998,45.470001,46.509998,45.983459,6263400
2019-04-24,46.450001,46.889999,46.040001,46.750000,46.220745,5327800
2019-04-25,46.660000,47.459999,46.139999,47.410000,46.873276,7637100
2019-04-26,47.480000,48.480000,47.299999,48.150002,47.604897,6233200
2019-04-29,48.430000,48.980000,48.220001,48.400002,47.852070,7098200
2019-04-30,48.410000,48.650002,47.779999,48.209999,47.664215,6906400
2019-05-01,48.349998,49.560001,48.240002,48.560001,48.010258,9474500
2019-05-02,48.779999,49.830002,48.720001,49.549999,48.989048,13565600
2019-05-03,48.200001,48.669998,46.160000,47.150002,46.616219,25671000
2019-05-06,46.029999,48.200001,46.000000,48.160000,47.614784,10300500
2019-05-07,47.709999,47.970001,46.349998,46.680000,46.151539,7918500
2019-05-08,47.049999,47.320000,46.400002,46.820000,46.289951,9392500
2019-05-09,46.139999,47.040001,45.700001,46.639999,46.111988,7115400
2019-05-10,46.560001,46.630001,43.520000,46.020000,45.499008,5415400
2019-05-13,44.730000,45.130001,43.169998,43.410000,42.918560,9803000
2019-05-14,43.700001,45.180000,43.380001,44.700001,44.193954,7171500
2019-05-15,44.490002,46.520000,44.430000,46.279999,45.756065,6965600
2019-05-16,46.270000,47.320000,45.820000,47.290001,46.754635,5798700
2019-05-17,46.810001,47.369999,46.299999,46.389999,45.864822,4280800
2019-05-20,45.650002,45.650002,43.330002,43.610001,43.116295,9204200
2019-05-21,43.970001,44.060001,43.400002,43.450001,42.958103,8279600
2019-05-22,42.939999,43.639999,42.830002,42.910000,42.424217,7222900
2019-05-23,42.430000,42.790001,41.950001,42.189999,41.712368,7390000
2019-05-24,42.459999,42.779999,41.840000,42.290001,41.811237,5076100
2019-05-28,43.759998,44.700001,43.279999,43.509998,43.017426,12150000
2019-05-29,43.200001,44.160000,42.840000,43.990002,43.491993,9134300
2019-05-30,44.040001,44.480000,43.160000,43.560001,43.066860,5552900
2019-05-31,43.110001,43.779999,43.009998,43.369999,42.879009,5978700
2019-06-03,43.320000,43.389999,42.099998,42.380001,41.900219,6711100
2019-06-04,42.980000,43.639999,42.250000,43.610001,43.116295,7621500
2019-06-05,43.770000,44.680000,43.490002,44.520000,44.015995,5768800
2019-06-06,44.150002,44.740002,43.700001,44.080002,43.580975,4699000
2019-06-07,44.279999,45.630001,44.060001,45.380001,44.866261,6785800
2019-06-10,45.770000,46.470001,45.200001,46.009998,45.489120,6405400
2019-06-11,46.490002,47.060001,46.189999,46.700001,46.171314,6679700
2019-06-12,46.459999,46.529999,44.970001,45.090000,44.579536,6155400
2019-06-13,45.450001,46.110001,45.080002,46.049999,45.528671,6204700
2019-06-14,45.799999,45.959999,45.119999,45.619999,45.103535,4629400
2019-06-17,45.700001,45.950001,45.000000,45.070000,44.559769,7710000
2019-06-18,45.549999,46.480000,45.330002,45.770000,45.251842,6839000
2019-06-19,45.770000,45.770000,44.590000,45.330002,44.816822,5441900
2019-06-20,45.990002,46.330002,45.450001,45.669998,45.152973,4574600
2019-06-21,45.529999,45.939999,45.189999,45.910000,45.390255,7895500
2019-06-24,45.639999,47.209999,45.639999,47.150002,46.616219,7299700
2019-06-25,47.070000,47.490002,45.660000,46.200001,45.676971,8688600
2019-06-26,46.360001,47.470001,46.209999,46.730000,46.200970,5328700
2019-06-27,47.090000,47.570000,46.520000,47.279999,46.744743,6918600
2019-06-28,47.500000,47.730000,46.560001,47.200001,46.665653,15179000
